title,company,location,post_date,num_applicants,full_time,size,description,salary
Data Analyst at stayforlong,join.com,"Barcelona, Catalonia, Spain",,,level,51-200 employees · Software Development,"About the job
          

 
                We want the best talent (at) stayforlong, and we want you to help us to grow as a team and as a company.

We are Stayforlong, the first hotel marketplace specialized in long stays. We reward people with amazing discounts the more nights they stay in a hotel! Because we consider that it is unfair to pay the same if you are going to spend more time :)

We have a wide range of hotels and we collaborate with companies such as Trivago, Tripadvisor, Google Hotel Ads, and Kayak.

We have digital DNA. We love challenges, moving fast, thinking out of the box, and inspiring people who want to take the company to the next level. Besides, we stand out for our multiculturalism, be flexible, and work in an agile environment.

Would you like to take part in our #teamforlong? Pay attention to this opportunity!

Job purpose:

Currently, we’re developing our Data department and we need a Data Analyst to let us keep growing our data organization.

Tareas

Main job responsibilities are:
Understand business needs and respond those needs with insights and visualizationsBuild fast data visualizations.Develop and maintain scalable and self-service visualization tools and storytelling dashboards.Produce ad hoc and project-based analysis to support key business initiativesProvide data-driven recommendations to enhance our data-pipelinesUnderstand our data and be part of the team with the same goal: find growth opportunities.
Requisitos

What you need to have:
You’ve at least 2 years of experience as a Data Analyst or similar role working.You master SQL, know your way around optimization and scalability of queries.You master BI visualization tools like Looker, Tableau, Qlink, etc.You have experience in Google Analytics as a master
Desirable:
You have programming skills and can code in Java or Python.
Beneficios

What we offer:
Permanent contract.Immediate incorporation.Full-time. Flexible schedule.Possibility to work from home.Office located in the center of the city (Barcelona).Flexible remuneration: You will be able to include a restaurant card, transport card, kindergarten check, health insurance, and training.Taking part in a multicultural company.Excellent work environment.
If you're an ambitious person with a high desire to learn, we wanna meet you!",Full-time · Mid-Senior
Data Engineer (potential Team Leader),DocPlanner,"Barcelona, Catalonia, Spain",4 days ago,,level,"1,001-5,000 employees · Technology, Information and Internet","About the job
          

 
What does the role of a Data Engineer do?

Work in the Data Platform Team and cooperate closely with engineering, product and data teams.Integrate data sources and optimise data processing.Develop our infrastructure in close cooperation with Platform & Reliability engineers.Work alongside analysts in making data experience more human.Opportunity to develop as a future team leader, finally spending time on leadership & engineering in ~50/50 ratio.Additionally, if you become a Team Leader you will manage a group of 3-5 engineers and be responsible for their growth and happiness. You will support, set expectations, provide regular feedback & keep team members accountable.



Qualifications

What skills and experiences do we want you to have?

Terms such as [""data "" + elem for elem in [""warehouse"", ""lake"", ""orchestration"", ""engineering""]] are the bread and butter of your experience.Strong Python & SQL skills with good coding practices.Hands-on experience with cloud technologies and data pipelines (ie. Airflow, Luigi, dbt, NiFi).Good Docker skills and familiarity with Kubernetes.You are an excellent analytical thinker and possess problem-solving skills.Very good command of English (both spoken and written).Which skills are ‘bonus points’?

Experience growing, coaching, mentoring and providing feedback to team members including having had difficult conversations.Familiarity with various big data and DevOps stuff (Kafka (Strimzi), Spark, Helm, Terraform).Experience in CI/CD for the data environment.Experience in testing for data processing.ML models operationalisation (ie. in Docker, Kubernetes).

Additional Information

Benefits:

Acompetitive salaryadequate to your experience and skills between 35.000 € - 60.000 € gross yearly. The range is broad so that we can accommodate our roles for all levels of experience, but we will show you the career ladder to decide, together, what your skills are and what impact you will bring. Your salary will be, now and always, 100% transparent to youShare options planafter 6 months of working with usRemote work or hybrid work model, with hubs in Barcelona, Warsaw, and RomeFlexible working hours(like, for real), plus a Summer intensive schedule every day of July and AugustPrivate healthcare plan withAdeslasfor you, and subsidised for your family (medical and dental), plus employee access to Docplanner Care, our premium patients portal23 paid holidays, exchangeable local bank holidays, plus an additional paid holiday on your birthday or work anniversaryRelocation support to either Spain or Poland (we handle the bureaucracy so you don’t have to!)Free English and Spanish classesAccess to hundreds of gyms for a symbolic fee in partnership for you and your family withAndjoyFlexible remuneration and benefits system viaFlexohwhich includes: restaurant card, transportation card, kindergarten, and training tax savings20% time rule,enabling you to spend 20% of your working hours on your own developmentIf you are applying for one of our positions outside our office locations and wish to work remotely within your permanent residence CET +/- 2, you will be hired via our Global Employer,Remote.com. Remote.com works with local benefits providers to build our packages; but you can expect the same salary range and the majority of benefits that we have in Spain, Poland, and Italy, plus a budget for travel and integration

We are committed to promoting equal opportunities in employment.All job applicants will receive equal treatment regardless of age, disability, gender reassignment, marital or civil partner status, pregnancy or maternity, race, colour, nationality, ethnic or national origin, religion or belief, sex, or sexual orientation.Please let us know if you will require any additional support in your recruitment process.

Important:Docplanner Tech is an international English-first company.Therefore, please be sure to send your CV inEnglish

Your buddy for this Recruitment Process will be Berenika Konieczny",
Data Science Lead,Danone,"Barcelona, Catalonia, Spain",1 week ago,,Full-time,"10,001+ employees · Food and Beverage Manufacturing","About the job
          

 
About The Job

Each time we eat and drink, we vote for the world we want to live in.

Danone’s mission is Bringing health through food to as many people as possible and we want to invite people to join the movement for a healthier world. We recognize the power people have to impact the world through their daily choices. Healthy food needs a healthy planet, and this is what our new signature One Planet One Health embodies.

Danette, Evian, Activia, Volvic, Blédina, sound familiar to you? Do you know that behind these brands there is always Information Technology pushing them forward?

At Danone, we use advanced and innovative IT solutions which are implemented in all Danone units around the world to contribute to our mission bringing health through food to as many people as possible. Don’t wait, click and discover the Danone IS/IT universe and join the movement your IT skills could be a real asset for the alimentation revolution!

About You

Profile & Experience
 At least [10+] years of experience in leading complex Data Science / Big Data projects from MVP to industrialized solutions A MSc, PhD or other Advanced Degree in a field linked to computer science, applied mathematics, statistics, machine learning, or closely related fields Experience in Fast-Moving Consumer Goods (FMCG) industry is a plus. English is a must
Competencies

We are looking for people having the following technical skills
 Programming python (pandas, numpy), Spark, Git Modeling semi-supervised learning, Boosting, time series forecasting, supervised and unsupervised learning Infrastructure Cloud (Azure is a plus) Data Science tools/modules Databricks / MLFlow
Experience in managing an Advanced Analytics project will be challenged
 Explore the potential of a raw data set and propose some innovative ideas Build relevant and performant models and analyses Frame the project Follow the developments and ensure team success Monitor performance and ensure change management
Mandatory skills
 Substantial experience working on full-life cycle data science project Experience in leading a team Ability to meet tight deadlines and work in an environment with multiple priorities. Ability to communicate and discuss vision with head of D&A, CDO, and key data or business stakeholders within the Group Curious, motivated, team-player, and with a good work ethic;
About Us

The Danone Data & Analytics organization (D&A) is looking for a Data Science Lead. Data & Analytics has the mission to deliver-leading edge, business-focused data powered products & services that will help strengthen Danone transformation & growth.

The global Data Science team mission is to develop some new Data Science & AI tools to provide valuable insights to everybody at Danone, from Commercial to Operations. Danone is accelerating its data transformation, and we are strengthening our Data Science team, by creating new positions around Europe.

Your mission, as a Data Science Lead, will be to lead the local Data Science team to deliver new data science solutions, and provide the business with a Data Science strategy by proposing creative solutions to their complex problems. Our target is to work for all of Danone’s businesses and address topics such as demand/supply forecasting, commodity pricing, milk collection optimization, marketing optimization and environmental impact reduction.

Responsabilities & Duties
 Provide compelling and well thought input regarding the Data & Analytics vision Build & Keep strong connection with external ecosystem (research and academic, start-ups, technology providers) Prescriber of best of breed technologies Define the best practices in terms of programing / coding, implementation of ML Ops, model review protocols, documentation standards… Guide the team on the algorithms/methodologies to be leveraged in the use cases Inspire change and make an impact within Danone to promote a data enabled culture Manage a team of 5 Data Scientists & ML Engineers
She/he will be responsible for the quality, reliability and maintenance protocols of the models deployed.

She/he shall be aware of ethical and compliance issues that can arise from the use of advanced Data & Analytics models.",
Data Analyst - Trainee,Fluidra,"Sant Cugat del Vallès, Catalonia, Spain",1 month ago,36 applicants,Internship,"5,001-10,000 employees · Manufacturing","About the job
          

 
                Fluidra, a multinational group listed on the Spanish Stock Exchange, is the global leader in the pool and wellness industry. Founded in 1969, Fluidra has long-standing experience in developing innovative products and services in the global residential and commercial pool market.

Fluidra has a clear mission: to create the perfect pool and wellness experience responsibly.

You Will Join The Global Data Team (business Focus) Reporting To The Operations & Industry Steward And Providing Support In The Following Areas
Advanced analytics tools focused on sales and marginMaster data & Data QualityData marts definition and Data modelingCreate Dashboards and ReportsTraining & Engagement of Data users
Requirements
3º or 4º course Student of a Bachelor/Master grade in Industrial engineering (Industrial organization specialization preferred), Telecommunications, computer science, ADE Higher Education cycle related to data and analyticsBe able to share studies with internship hoursKnowledge of MS Power BI, SQL, and programming languages (Python, R, etc) is desirableA High Level of English and Spanish is mandatory.
Soft Skills
Ability to work with stakeholders to understand business requirements and needsTeamworkExcellent oral and written communication skills.
What do we offer?
Paid formative periodInternship for 6 monthsMentoring during the entire scholarship
Sant Cugat del Vallès",
Android Engineer,Contentsquare,Greater Barcelona Metropolitan Area,2 days ago,7 applicants,level,"1,001-5,000 employees · Technology, Information and Internet","About the job
          

 
Contentsquare is a digital experience analytics company dedicated to making the digital world more human through online experiences built on trust, privacy, and accessibility. Since our founding in France in 2012, we have grown to be a truly global team, representing more than 70 nationalities in offices across the world, including New York, London, Paris, Munich, San Francisco, Barcelona, Amsterdam, Tel Aviv, Tokyo, Singapore, and more.
We’ve been recognized by Frost & Sullivan as a Global Company of the Year, and by Wired Magazine as one of Europe’s hottest startups. In July of 2022, we raised $600M in Series F funding, doubling our valuation to $5.6B. But we’re not stopping there.
To reach our ambitious goals for the future, we will be nearly doubling the size of our global workforce in the next 2 years. Want to learn, innovate and contribute your unique perspective to an industry leader? Join the team dedicated to bringing more human analytics to the world!
🚀 Our missionAt Contentsquare, all employees share one goal: to help brands create exceptional online experiences with our industry-leading digital experience analytics platform.In the mobile data collection team, we are on a mission to build the industry leading digital experience analytics SDK.
With a stellar growth, billions of users, a complex business environment and the need for us to have a very high level of quality, performance and privacy, you’ll find an engaging, rewarding and supportive work environment at Contentsquare.
We are looking for developers who understand that development is a team effort, who are proud of a job well done and know how to implement simple and efficient solutions to solve challenging and unique problems.
💻 Our stackOn the data collection side, our SDK works on native iOS applications (implemented in Swift) and native Android applications (SDK is in Java - converted to Kotlin over time -, Unit Tests and Sample App in Kotlin). We also support various multi-platform frameworks (React Native, Flutter, Capacitor/Ionic, Cordova) with specific bridges.The Tag (implemented in Typescript) that collects data on websites (both desktop and web mobile) is implemented and maintained by the Web Team.Our APIs are mostly designed with our specific constraints in mind. For example, the most data intensive ones use Protocol Buffers.Our backend uses a combination of technologies such as Kafka, Spark, Flink, Akka, ClickHouse and languages such as Scala, Golang, Python, C++.Our monitoring and deployment are handled through Kibana, Grafana, Terraform, Datadog and finally, everything is hosted on AWS and Azure.Our frontend is a micro-frontend SPA developed mainly in Angular/Vue.js and Node.js.
🧠 Our challengesOur first challenge is to navigate through uncharted territories, native APIs and poorly documented features to make sure we collect all the relevant data we need to compute our insights.In addition we obviously must ensure a very high level of performance (as well as the least impact on user experience), stability and be very mindful about data and CPU consumption.Our rapid growth requires a strong focus on software architecture, code sharing and automation to sustain our delivery capacity while increasing our teams' size.Finally, we are not a tracking company, so collecting PII (Personal Identifiable Information) is an absolute no-go for us and we take it very seriously!
🤗 Skills & MindsetIf you have already worked on any kind of software SDK your experience will be of great interest to us.In the same way, if you have notable experience in high performance code, automated non-regression and performance testing, software bridges (between technologies, native and non-native), or if you enjoy testing new technologies or frameworks such as Flutter/Dart, Swift UI, Compose, React Native/Typescript, we would love to hear from you.As a team we are really involved in producing a high quality SDK. We expect our developers to know how to unit test their code, to write easy to read & maintain code and documentation as well as being comfortable doing pair programming with their team members.
🏝 What we offerAn healthy working environment with supportive team members, a place to grow both technically and as an individualAutonomy, responsibilities and opportunitiesAn Engineering Career Path (with clear defined progression steps and opportunities to mentor and be mentored) to make sure you always learn something newPlenty of opportunities for training and developmentAttractive salary and stock optionsFlexible working conditions (full remote, 100% in office or any hybrid setup of your choice)A dynamic and multi-cultural company with +50 nationalitiesGood health insuranceMany benefits such as reductions on gym membership and leisure activities While we are offering fully remote opportunities, employees need to be fiscally based in one of our main countries to be hired by one of our offices. Employees also have the option to work from an office if one is located within commutable distance.",
Arquitecto Ciberseguridad,S21sec,"Madrid, Community of Madrid, Spain",3 days ago,,level,201-500 employees · Computer and Network Security,"About the job
          

 
                Funciones:

 Buscamos una persona con al menos 5 años de experiencia en en ámbito de cibersegurdad que se incorpore en cliente asociado a la delegación de Madrid para participar en la gestión y soporte a proyectos y politicas de seguridad en el cliente.
 - Persona dinámica, responsable, con gran capacidad de aprendizaje contínuo y motivación de desarrollo en el ámbito tecnológico y especialmente en el ámbito de ciberseguridad.

 Modelo de Servicio:
 - Teletrabajo en modalidad 3+2
 - Horario de oficina: L-J (mañana y tarde), V (intensiva de mañana)
 - No guardias ni intervenciones fuera de horario

 Entre sus funciones estarán:

 - Diseño de Arquitecturas y soluciones de ciberseguridad en diferentes entornos
 - Auditoria de configuraciones y politicas de seguridad en diferentes entornos y soluciones de ciberseguridad
 - Recomendaciones de mejora, fine-tunning y evolucion de capacidades de seguridad de forma integral 
 - Desarrollo de politicas, guias o planes técnicos asociados a la gestion, evolucion y entornos de seguridad del cliente
 - Configuracion segura y bastionados de sistemas y aplicaciones
 - Mejora continua de las politicas y medidas de proteccion adecuadas en cada caso
 - Soporte de ciberseguridad a proyectos de implantación o migracion de aplicaciones o sistemas 

 Entornos
 - Protección Perimetral: Firewall, WAF, Proxy, Email Gateway.
 - Protección de Redes: IPS, NAC
 - Protección de Endpoints: EDR y EPP.
 - Protección de entornos Cloud (Azure y AWS)
 - Protección de entornos SaaS (O365)
 - Administración y configuración segura de sistemas.

 Requisitos:

 - Conocimientos en sistemas Linux, Windows. 
 - Conocimientos y experiencia en networking y gestión de red 
 - Conocimientos y experiencia en entornos y productos de ciberseguridad
 - Conocimientos específicos y certificaciones en uno o varios de los siguientes productos:
 NGFW: CheckPoint, ForcePoint, Fortinet, PaloAlto
 IPS: CheckPoint, ForcePoint, Fortinet, PaloAlto
 VPN: CheckPoint, ForcePoint, Fortinet, PaloAlto
 ADC: F5
 WAF: F5, Imperva
 Proxy: McAfee, ForcePoint, Symantec 
 NAC: HPE-Aruba, Forescout
 EPP/EDR: McAfee/Trellix, TrendMicro, CrowdStrike, MS Defender
 CSWG: Netskope, ForcePoint, ZSCaler
 CASB: Netskope, Symantec

 Formacion Academica:
 - Grado Universitario en Informática o Telecomunicaciones o similar.
 - Ciclo Formativo Superior (FP) en Ciberseguridad o Administración de Sistemas

 Formación adicional y/o certificaciones especificas:
 - Certificaciones Ciberseguridad: , CISSP, CCSP, CSX, CISA/CISM, etc.
 - Certificaciones Vendors: Check Point, Fortinet, Palo Alto, HPE, F5, CISCO, Azure, AWS, etc.

 Se ofrece:

 En S21sec nos consideramos disruptivos en la gestión del talento, donde estamos continuamente innovando en nuestras políticas, para permitir a nuestros empleados una conciliación real que se adapte a sus necesidades:

 - ¿Te gustaría tener hasta 33 días de vacaciones en 2022? En S21sec puedes organizar tu jornada laboral para conseguirlo.
 - ¿Quieres maximizar tu salario neto? En S21sec puedes decidir que paquete de Retribución Flexible (Tarjeta restaurante, tarjeta transporte, cheques guardería y cheques formación) se adapta mejor a tus necesidades.
 - ¿Quieres seguir formándote y ampliar tus Certificaciones? Es S21sec cuentas con un Plan de Formación Anual ( basado en Certificaciones técnicas, Idiomas, formación en Soft Skills…)
 - ¿Te gusta compartir lo que aprendes? En S21sec contamos con la participación voluntaria del programa de Speakers.
 - ¿Quieres trabajar por Objetivos, claros y transparentes? En S21sec contamos con una Política de Bonus anuales, basados en KPIS.

 Si eres una persona apasionada por la Ciberseguridad, somos tu Compañía. ¡Te estamos esperando",
Data Analyst,Deloitte,"Barcelona, Catalonia, Spain",1 day ago,,Associate,"10,001+ employees · Business Consulting and Services","About the job
          

 
                ¿Quieres desarrollar tu carrera profesional allí donde hacemos realidad las ideaciones de nuestros clientes mediante el uso de las tecnologías más disruptivas y avanzadas del mercado? ¿Te encanta afrontar nuevos retos tecnológicos y liderar la transformación digital de nuestros clientes? ¿Buscas un ecosistema con proyectos nacionales e internacionales?

En el equipo de Specialized Technology Engineering (STE) de Deloitte contamos con un grupo de profesionales que se enfrentan constantemente al reto de aplicar tecnologías especializadas de última generación ayudando a nuestros clientes en sus procesos de constante transformación digital. Nuestros profesionales en continua formación, disponen de amplios conocimientos en tecnología del ámbito Cloud, Inteligencia Artificial, el mundo del Dato, Ominicanalidad, Realidad Digital, entre otras. Nuestras metodologías de trabajo ágiles nos permiten, junto a avanzadas herramientas y los aceleradores de desarrollo más punteros del mercado, poner soluciones en manos de nuestros clientes en un tiempo récord.

Actualmente, precisamos incorporar un/a Data Analyst para integrarse en las oficinas de Barcelona, Madrid o Bilbao de manera indefinida.

¿Qué buscamos?
 Experiencia profesional mínima 1 año en la transformación de datos a escala masiva basada tanto en servicios cloud como heramientas de integración de datos.  Stack Tecnológico: Data Pipelines ( (ETL, ingestion, etc), Data Quality, Data profiling, Data Lineage,Gluecode mastery / Cloudera & Hortonworks (ecosistema Hadoop) / Amazon (lambda, glue, S3, Kinesis) / Azure (Data Factory, Datalake, Databricks, Deltalake) / GCP (Cloud Storage, Dataproc, Dataflow) / SQL (Oracle, MSSQL, MySQL, etc.) / Shellscripting, linux & windows platforms / Kafka  Formación: Ingenierías o Grados en Ingeniería Informática, Telecomunicaciones, Matemáticas o Estadística.  Nivel de inglés mínimo B2  Orientación a resultados, capacidad analítica y espíritu de equipo. 
 ¿Qué ofrecemos? 
 Formar parte de un equipo multicultural con los profesionales más cualificados, que te acompañarán y guiarán en tu día a día.  Trabajar en proyectos tecnológicamente punteros y altamente desafiantes para clientes líderes en sus sectores.  Disponer de un plan formativo a tu medida que te permita seguir desarrollándote tanto personal como profesionalmente con nosotros.  Contar con un seguimiento personalizado de tu carrera, con revisiones de rendimiento periódicas acompañadas de revisiones salariales.  Trabajar en un entorno dinámico y flexible.  Disfrutar de 22 días de vacaciones además de 5 días en Navidad, 4 días en Semana Santa y jornada intensiva del 1 de Julio al 15 de septiembre.  Acceder a los numerosos beneficios sociales que ofrecemos, tales como seguro de vida y accidentes, subvención del seguro médico para ti y para tu familia, descuentos en gimnasios, ventajas fiscales en Ticket Restaurant, Guardería y Transporte y mucho más.  Generar impacto social y medioambiental, participando en las iniciativas organizadas por nuestra área de Responsabilidad Social Corporativa.  Participar en actividades y eventos extra laborales (campeonatos de eGames, concursos, afterworks…) que fomentan un gran ambiente de trabajo y que consideramos nuestro mayor logro. 
Si quieres ver cómo tu trabajo tiene un impacto real en los clientes y personas, te gustan los retos tecnológicos y crees que nunca se deja de aprender… ¡Deloitte es tu sitio!

 ¿Aceptas el desafío?",
Data Platform Architect,Keyrus,"Madrid, Community of Madrid, Spain",2 months ago,,Associate,"1,001-5,000 employees · IT Services and IT Consulting","About the job
          

 
THE PLACE TO BE

Somos expertos en el mundo del Data Analytics. Guiamos a nuestros clientes a través de su Data Journey independientemente del grado de madurez analítica que tengan.

Como end-to-end partner abordamos todos los desafíos a los que se enfrenten nuestros clientes en materia de Advanced Analytics, Cloud, Gobierno del Dato, Visualización y Assesments estratégicos 360º, todo con el fin de mejorar sus KPIs y su negocio gracias a los datos.

Ya somos más de 3200 empleados y estamos presentes en 21 países y 4 continentes, lo que nos permite ayudar a nuestros clientes con un extenso conocimiento local con mentalidad de start-up y una potente estructura internacional.

Job Description

Buscamos un Arquitecto Administrador de plataformas con una experiencia mínima de 2-3 años trabajando como un Administrador de Azure. Con capacidad de servir como guía para la definición de la nueva arquitectura además implementar protocolos de seguridad y solventar problemas técnicos de la plataforma.

Precisamos que la persona tenga alta capacidad de autonomía, y que esté familiarizada en profundidad con la herramienta, manejo de grupos, suscripciones, la política de seguridad de Azure, etc. Que cuente con conocimientos de Databricks, Azure Data Factory, Synapse, R, Python, etc. Con conocimiento en herramientas de ETL como Alteryx.

Requerimos además un nivel de inglés avanzado (B2+).

DESARROLLO TU CARRERA

¡Tú marcas los límites! Creemos en las personas y en el valor que aportan a nuestra organización, por lo que estamos orgullosos de tener una reconocible cultura empresarial centrada en las personas y para las personas.

FORMACIÓN

¡Mañana, más y mejor! Dado que nuestros empleados son el motor que hacen funcionar a Keyrus día a día y los que marcan la diferencia en los proyectos que llevamos a cabo, reciben continuamente formación en las tecnologías más punteras.

INNOVACIÓN

¡Queremos cambiar el mundo! La innovación corre por nuestras venas y queremos que nuestros futuros empleados cuenten con esa pasión, compromiso, ilusión y espíritu disruptor que tanto nos caracteriza.

BENEFICIOS SOCIALES

Nuestra estrategia para cambiar y mejorar el mundo comienza desde dentro a través de través de diferentes iniciativas sociales impulsadas por nuestro departamento de recursos humanos como la flexibilidad horaria, la conciliación familiar, paquetes retributivos competitivos a nivel del mercado y descuentos y beneficios por pertenecer a la compañía.",
Data Operation Manger,RWE,"Madrid, Community of Madrid, Spain",2 days ago,,Associate,"10,001+ employees · Utilities","About the job
          

 
Region: MadridTo start as soon as possible, Full time, Permanent Functional area: IT / Digital
Responsibilities:You take responsibility for monitoring data and ensuring data transfer from source to end userIn the team you ensure the documentation of problems and troubleshooting via our ticket systemYou are responsible for data import and export as well as for error handling in data acceptance and data deletion.As a contact person, you manage support for inquiries regarding data transfer problemsYou coordinate testing and adjustment of data processes as well as the coordination and planning of data transfer jobs are part of your job.You lead error management and support the optimization and automation of digital processes.You analyze data transfer process in SCADA system, databasesYou ensure continuous improvement of processes for monitoring data flows and design dashboards with the most important performance indicatorsYou proactively communicate issues and troubleshooting to relevant stakeholdersYou develop, design and implement IT solutions in cooperation with external service providers to monitor data transmission jobsYou ensure the active further development of our existing system and data architecture and contribute with suggestions for improvementYou monitor critical system components and create reports and dashboards
Your Skills & Experience:3-5 years of experience in a relevant role in data processing, OT/PIT or SCADA.Deep knowledge and practical experience with software/applications for monitoring data flowsDeep knowledge of the OT/ProcessIT/SCADA environmentDeep knowledge of ETL, SQL, time series or similar databasesDeep knowledge of visualization and reporting solutionsDeep knowledge of monitoring system for data transfer processesProblem-solving skills with a methodical backgroundDetail oriented. proactive and willing to learn new things and work as part of a cross-functional teamExperience in agile projects and quick learning abilityEnjoy working in a team of international team membersSolution-oriented mindsetFluency in English is a must
We look forward to meeting you! We value diversity and therefore welcome all applications, irrespective of gender, disability, nationality, ethnic and social background, religion and beliefs, age or sexual orientation and identity. RWE represents change, innovation and sustainability. As one of the world’s leading generators of electricity from renewable energy sources, we aim to be carbon-neutral by 2040 and to enable a sustainable life for people around the world. To achieve this, we are looking for dynamic and motivated people to join us in creating a sustainable and secure energy future. RWE Renewables GmbH, based in Essen, Germany, is RWE’s youngest subsidiary and one of the world’s leading companies in the field of renewable energies. With an international team of around 3,500 employees, we are drivers of the energy transition – and provide electricity for a sustainable life. Our total capacity of more than 9 gigawatts results from onshore and offshore wind parks, photovoltaic plants and battery storage. We focus on growth: on the American continent, on the European core markets and on new markets in the Asia-Pacific region.",
Senior Data Scientist - Data Products Engineering,Vodafone,"Madrid, Community of Madrid, Spain",1 day ago,,Full-time,"10,001+ employees · Telecommunications","About the job
          

 
Role purpose
Identify opportunities to improve business outcomes through the use of analytical techniques, working with Local Markets and Group to understand their requirements and find and/or develop appropriate analytical products.Build and deliver data science models that drive value following best-practices and standards (revenue upturn, cost decrease and/or customer & employee engagement improvements)Build and deliver automations which will help digital transformation of stakeholders Partner with Product Manager & delivery teams within Shared Services to deliver analytics solutions & insight with a focus around following best-practices and standardsCreate, own and maintain reusable data science products and services that can be deployed across VodafoneDrive innovation by employing new analytical techniques, collaborating with wider Data & Analytics teamCollaborate with Product Design Leads to embed Analytics into dashboards & applications to create greater relevance and impact for Vodafone
As a Data Scientist Lead, you´ll be in charge of the following responsibilities:
Stakeholder management and engagement with new stakeholders from Group and OpCos to address their analytics needs and shape and define our Analytics Products/Projects Portfolio based on these requirementsEnsure best-practices and standards for software development in Data Science are followed across the wider team (including DAIS)Own specification and delivery of analytical products and servicesManage analytics portfolio and products by continuous improvement of existing products and developing new products based on stakeholder needsDevelop new analytics solutions through descriptive, predictive and/or prescriptive analytics techniquesManage delivery through partner organisation in DAIS (Data & Analytics Integrated Services in Vodafone Shared Services) Maintain data sources and models up to dateMaintain up to date knowledge and emerging trends in analytics and challenge the status quo
What do you bring? Proven data analytics experience (data science, data analysis, data management) Understanding of analytical techniques and competencies (e.g. Machine Learning / statistical modelling)Excellent numeracy skillsA track record of working with large unstructured data sets to generate business insightExperience with working across business and IT teams; ideally both on and off shoreSoftware Development and Design skillsExperience in agile way of workingHaving hands on experience with:programming laguages like Python.standard Data Science stack like Pandas, numPy, sci-kit learn, etc.data handling: SQL/BigQuery.visualisation tools like Qlik, Tableau, PowerBI, etc. (good to have)cloud platforms like GCP, AWS, Azure, etc. (good to have)Strong communication skills with ability to influence senior stakeholdersStorytelling with data
What’s in it for you? 
25 days holiday (with the option to buy up to 10 extra days). (60% home – 40% office) and flexible hours.3 paid days leave for charity projects.Meal vouchers and flexible remuneration.Free health insurance with Adeslas.Access to ""Grow with Vodafone"", our learning and development experience (LinkedIn Learning included)
We invite you to join Vodafone to build a future together, in a position where you can learn new things every day and thrive.

Get to know us better here and find out what life at Vodafone could be like for you: https://www.vodafone.es/c/conocenos/es/vodafone-espana/trabaja-con-nosotros/

Vodafone is committed to attracting, developing and retaining the best people by offering a flexible, motivating and inclusive workplace in which talent is truly recognised, developed and rewarded. We believe that diversity plays an important role in the success of our business and we are committed to creating an inclusive work environment which respects, values, celebrates and makes the most of people’s individual differences. We are proud to offer equal opportunities regardless of race, nationality, cultural origin, sex, age, marital status, sexual orientation, gender identity, disability and religious or political beliefs.",
